web-scraper-order,web-scraper-start-url,Types_habits,Prix,Adresse,Image_lien,Image_lien-href
"1739226162-836","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","Prix sur demande","Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2710755"
"1739226162-837","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement Enfants","Prix sur demande","Yoff, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-2710752"
"1739226162-838","https://sn.coinafrique.com/categorie/vetements-enfants","Grenouillère enfants","6 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-enfants-2707354"
"1739226162-839","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","3 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-2701503"
"1739226162-840","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement bébé","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-bebe-2699126"
"1739226162-841","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","5 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-2697563"
"1739226162-842","https://sn.coinafrique.com/categorie/vetements-enfants","Robe enfant","5 000CFA","Cambérène, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-enfant-2697206"
"1739226162-843","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fillette","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-2695762"
"1739226162-844","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fillette","7 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-2695741"
"1739226162-845","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fillette","7 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-2695739"
"1739226162-846","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement Enfants","7 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-2694916"
"1739226162-847","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement Enfants","3 500CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-2694887"
"1739226162-848","https://sn.coinafrique.com/categorie/vetements-enfants","Ban pour bébé","550 000CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ban-pour-bebe-2694878"
"1739226162-849","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble grenouillère  bébé","6 500CFA","HLM, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-grenouillere-bebe-2694850"
"1739226162-850","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble coton","5 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-coton-2693101"
"1739226162-851","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fillette","5 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-2693060"
"1739226162-852","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement Enfants","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfants-2691978"
"1739226162-853","https://sn.coinafrique.com/categorie/vetements-enfants","Robe fillette","7 000CFA","Dakar, Sénégal","favorite_border4années","https://sn.coinafrique.com/annonce/vetements-enfants/robe-fillette-2690343"
